,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,핀토,9,6,2,4,1,0,0,5,1,0,1,3,0,0,0,0,0,0,0.667,0.778,0.833,1.611,1.08,2.05,0.236
1,김원중,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.82,0.35,0.226
2,백정현,6,6,1,3,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0.500,0.500,0.667,1.167,0.84,1.65,0.199
3,오승환,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,3.90,0.33,0.166
4,샘슨,12,12,1,3,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0.250,0.250,0.250,0.500,0.90,0.34,0.164
5,서준원,2,2,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.97,2.49,0.153
6,킹엄,3,3,3,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.21,1.43,0.141
7,라이트,2,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,1.26,1.41,0.130
8,조성운,3,3,2,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.667,0.667,1.667,2.333,0.38,2.80,0.111
9,뷰캐넌,3,2,3,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,1.000,1.000,2.500,3.500,0.46,2.13,0.085
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,김민우,2,2,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.79,1.06,0.078
12,김대우,3,1,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.71,2.25,0.070
13,강재민,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.85,0.40,0.068
14,최원준,2,1,0,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.52,1.93,0.061
15,채드벨,6,4,2,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.85,0.87,0.052
16,배제성,9,6,2,2,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0.333,0.556,0.333,0.889,0.85,0.66,0.049
17,이재학,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,0.90,0.43,0.044
18,전상현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.41,0.13,0.043
19,가뇽,3,2,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,0.95,0.26,0.043
20,이태양,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.45,1.80,0.042
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김윤수,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.25,-0.08,0.041
23,김영규,4,4,2,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.750,1.250,0.82,0.16,0.039
24,박세웅,6,5,1,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0.200,0.333,0.400,0.733,0.71,0.13,0.035
25,김건태,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0.000,,,4.45,0.01,0.032
26,장현식,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,0.47,0.27,0.030
27,김현준,3,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.21,0.95,0.023
28,김이환,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.66,0.10,0.022
29,안영명,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.28,0.34,0.020
30,김진욱,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.750,1.250,0.58,0.23,0.015
31,황영국,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,0.36,0.40,0.014
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,강동연,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.80,0.25,0.010
34,윤정현,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.21,0.63,0.008
35,장지훈,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,0.70,-0.19,0.008
36,박시영,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.29,-0.46,0.007
37,정영일,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.07,1.00,0.006
38,장원삼,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,0.88,-0.04,0.004
39,김선기,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.09,0.13,0.004
40,김승범,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.05,0.81,0.003
41,김기탁,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.06,1.00,0.003
42,신정락,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.04,0.67,0.002
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,루친스키,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.31,-0.09,0.001
45,전유수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.38,0.000
46,윤희상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
47,김범수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.12,0.000
48,임현준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.26,0.000
49,김건국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
