,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,박종훈,12,11,0,3,0,0,0,3,3,0,0,1,0,0,3,0,0,0,0.273,0.333,0.273,0.606,1.37,1.17,0.254
1,박정수,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.62,2.65,0.246
2,김민수,6,5,1,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0.600,0.667,0.800,1.467,1.70,1.66,0.236
3,고영창,5,5,1,3,1,0,1,7,5,0,0,0,0,0,0,0,0,0,0.600,0.600,1.400,2.000,0.54,4.23,0.223
4,최성영,6,5,2,3,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0.600,0.667,1.200,1.867,0.86,1.77,0.206
5,함덕주,4,4,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,0.93,1.92,0.193
6,원태인,6,6,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.833,1.167,0.85,1.59,0.177
7,김건태,4,4,1,2,0,0,1,5,2,0,0,0,0,0,0,1,0,0,0.500,0.500,1.250,1.750,0.41,0.85,0.174
8,박진형,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.26,0.63,0.173
9,김태훈,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4.03,1.00,0.159
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,이재학,5,5,1,3,1,0,0,4,3,0,0,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,1.06,2.22,0.142
12,홍건희,6,6,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.667,1.167,0.96,-0.21,0.135
13,조병욱,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.40,0.92,0.134
14,뷰캐넌,3,3,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.71,2.15,0.128
15,김세현,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.13,2.48,0.124
16,주권,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,1.34,1.34,0.122
17,임창민,4,4,2,2,0,0,1,5,3,0,0,0,0,0,2,0,0,0,0.500,0.500,1.250,1.750,0.52,2.11,0.120
18,오승환,2,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2.72,0.76,0.117
19,최지광,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.27,0.55,0.106
20,김태훈,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.000,0.333,0.000,0.333,1.19,0.97,0.104
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,브리검,6,5,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0.400,0.333,0.400,0.733,0.82,0.73,0.097
23,송윤준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2.63,0.28,0.097
24,장민재,5,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,0.65,0.95,0.092
25,노성호,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,2.68,0.62,0.091
26,정우람,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.58,0.85,0.091
27,양현종,9,9,1,4,1,0,0,5,2,0,1,0,0,0,1,1,0,0,0.444,0.444,0.556,1.000,1.20,0.16,0.083
28,허윤동,9,7,0,2,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0.286,0.444,0.286,0.730,0.91,0.70,0.081
29,쿠에바스,7,6,1,2,1,0,0,3,1,0,0,0,1,0,2,0,0,0,0.333,0.429,0.500,0.929,1.07,0.85,0.077
30,이태양,2,2,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.74,1.50,0.068
31,이준영,2,2,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.43,1.55,0.061
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김진성,5,3,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0.667,0.600,0.667,1.267,1.32,1.78,0.059
34,김명신,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.27,0.40,0.052
35,플렉센,3,3,2,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0.667,0.667,1.000,1.667,1.16,0.20,0.051
36,양창섭,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.32,0.40,0.051
37,조영우,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,1.02,-0.05,0.050
38,채드벨,5,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.400,0.400,0.400,0.800,1.02,-0.18,0.039
39,하준호,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.28,0.10,0.037
40,서준원,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.98,0.40,0.037
41,원종현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.08,0.68,0.031
42,문경찬,3,3,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,1.07,1.29,0.031
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,정해영,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,2.41,0.74,0.029
45,김재열,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,1.00,0.29,0.026
46,핀토,9,9,1,2,0,0,0,2,5,0,0,0,0,0,1,1,0,0,0.222,0.222,0.222,0.444,1.21,1.09,0.021
47,이원준,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.25,0.53,0.015
48,박치국,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.26,0.14,0.014
49,박시영,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.18,1.17,0.013
50,노경은,5,5,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.200,0.200,0.800,1.000,1.08,-0.01,0.011
51,서폴드,6,6,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.59,1.05,0.011
52,김현준,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.17,0.90,0.010
53,김범수,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.27,0.28,0.010
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,이승진,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1.02,0.28,0.009
56,박진태,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.20,0.28,0.007
57,강재민,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.44,0.61,0.007
58,박종기,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.48,0.04,0.007
59,김상수,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.14,0.22,0.006
60,최원태,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.37,0.28,0.005
61,홍상삼,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,0.62,0.10,0.004
62,양현,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.09,0.40,0.004
63,윤호솔,2,1,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.02,1.13,0.004
64,손정욱,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.03,1.81,0.003
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,양승철,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.03,1.12,0.003
67,김찬호,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.03,1.00,0.002
68,김성민,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.02,0.63,0.002
69,이동원,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.21,0.12,0.001
70,김현수,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.04,0.84,0.001
71,정영일,2,2,1,1,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.07,3.12,0.001
72,한승지,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.00,0.40,0.000
73,박희수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
74,윤희상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
75,윤명준,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.02,0.13,0.000
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,서덕원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.18,0.000
78,홍정우,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.18,0.000
79,임현준,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.00,0.13,0.000
80,황영국,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,1.000,,,0.51,0.18,0.000
81,김주온,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.38,0.000
82,김택형,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.02,0.33,-0.001
83,신재웅,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.07,-0.23,-0.001
84,김건국,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.10,-0.18,-0.002
85,문동욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.26,-0.002
86,김재웅,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.07,-0.21,-0.002
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,차재용,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.12,-0.002
89,김종수,3,3,1,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,0.29,0.63,-0.002
90,강윤구,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.79,-0.003
91,조성운,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.13,-0.25,-0.004
92,오주원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.14,-0.18,-0.004
93,남재현,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.11,-0.57,-0.005
94,신정락,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.08,-1.38,-0.007
95,구승민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.25,-0.12,-0.007
96,신민혁,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.16,-0.36,-0.008
97,양기현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.35,-0.26,-0.009
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
