,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,주권,4,3,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0.333,0.500,1.333,1.833,1.78,2.08,0.492
1,배재환,2,1,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2.31,1.96,0.353
2,강윤구,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3.44,1.60,0.345
3,핀토,15,12,1,4,1,0,0,5,3,0,0,3,0,0,3,0,0,0,0.333,0.467,0.417,0.883,1.10,3.00,0.287
4,임기영,12,11,2,6,0,0,1,9,2,0,0,1,0,0,2,1,0,0,0.545,0.583,0.818,1.402,0.99,2.86,0.279
5,이승현,4,3,3,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.667,0.750,1.667,2.417,1.40,2.17,0.277
6,장지훈,4,4,1,2,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,0.68,3.13,0.255
7,홍건희,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.24,0.58,0.247
8,원종현,5,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,2.51,-0.10,0.241
9,김대우,5,5,0,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0.600,0.600,0.800,1.400,1.43,1.95,0.239
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,서폴드,15,15,3,5,1,0,2,12,5,0,0,0,0,0,1,2,0,0,0.333,0.333,0.800,1.133,1.05,2.34,0.238
12,문경찬,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,1.82,1.62,0.196
13,원태인,12,12,2,5,2,0,0,7,1,0,0,0,0,0,1,0,0,0,0.417,0.417,0.583,1.000,0.92,1.51,0.195
14,이형범,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,5.95,1.00,0.185
15,플렉센,12,10,1,5,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0.500,0.583,0.600,1.183,0.89,1.73,0.180
16,함덕주,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3.25,-0.05,0.158
17,이민우,4,2,1,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0.500,0.750,0.500,1.250,0.94,1.99,0.144
18,임찬규,9,8,0,4,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0.500,0.556,0.500,1.056,0.99,1.70,0.140
19,라이트,12,10,1,4,1,0,0,5,3,0,0,1,0,0,0,0,0,1,0.400,0.417,0.500,0.917,1.24,1.66,0.136
20,켈리,6,5,1,2,0,0,1,5,3,0,0,0,0,0,1,2,0,1,0.400,0.333,1.000,1.333,0.97,-0.07,0.131
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,김세현,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.46,0.61,0.125
23,김이환,7,4,1,3,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0.750,0.714,0.750,1.464,0.67,1.53,0.117
24,김주한,5,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,1.12,0.73,0.116
25,김민,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.17,0.82,0.116
26,이민호,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.54,0.89,0.109
27,정찬헌,12,11,3,4,0,0,0,4,4,1,0,0,0,0,2,1,0,1,0.364,0.333,0.364,0.697,1.15,1.64,0.100
28,안영명,4,4,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,0.65,1.17,0.096
29,김영규,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,0.82,0.74,0.082
30,허윤동,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.29,0.90,0.081
31,박민호,4,4,2,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.250,0.250,1.000,1.250,1.21,0.83,0.080
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,구창모,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.71,1.09,0.076
34,양현종,9,8,0,2,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0.250,0.333,0.250,0.583,1.17,0.40,0.072
35,최지광,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2.15,0.38,0.069
36,이재학,5,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,1.06,0.64,0.063
37,김태훈,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,1.10,0.59,0.062
38,김민수,6,5,1,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.400,0.500,0.600,1.100,0.75,1.05,0.062
39,이대은,4,3,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0.667,0.750,1.000,1.750,0.83,0.29,0.059
40,고우석,2,2,0,2,2,0,0,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.50,3.17,0.058
41,윤정현,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.87,0.43,0.057
42,심창민,2,1,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.38,1.25,0.057
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,하준호,3,2,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,1.23,0.79,0.054
45,뷰캐넌,6,6,1,2,0,0,1,5,2,0,0,0,0,0,0,1,0,0,0.333,0.333,0.833,1.167,1.15,0.29,0.053
46,김태훈,4,3,1,1,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0.333,0.500,0.333,0.833,0.81,0.85,0.052
47,이보근,4,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0.000,0.500,0.000,0.500,1.09,0.64,0.048
48,박종훈,6,6,0,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0.333,0.333,0.333,0.667,1.00,0.20,0.047
49,브리검,3,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0.500,0.333,0.500,0.833,2.10,0.28,0.046
50,알칸타라,13,10,0,3,0,0,0,3,2,0,0,2,1,0,4,0,0,0,0.300,0.462,0.300,0.762,1.14,0.24,0.045
51,문승원,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.53,0.63,0.042
52,김현준,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.30,1.29,0.042
53,라이블리,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1.10,0.16,0.040
54,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
55,조현우,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.80,0.22,0.040
56,서진용,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.13,-0.22,0.039
57,소이현,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.70,0.28,0.032
58,장현식,2,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,1,1.000,0.500,4.000,4.500,2.51,0.55,0.031
59,윤명준,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.33,0.53,0.023
60,장시환,6,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.200,0.333,0.200,0.533,0.78,-0.11,0.021
61,이현호,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.34,0.93,0.020
62,여건욱,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,1.23,0.02,0.019
63,류원석,2,2,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.21,-0.03,0.018
64,송명기,9,8,0,3,1,0,0,4,1,0,0,1,0,0,2,0,0,0,0.375,0.444,0.500,0.944,0.62,0.83,0.017
65,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
66,조상우,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.64,-0.56,0.017
67,정수민,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.92,0.14,0.015
68,진해수,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.29,0.93,0.013
69,최원준,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.59,0.23,0.012
70,장필준,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.20,-0.07,0.011
71,유희관,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1.00,0.25,0.009
72,이현승,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.76,-0.20,0.008
73,강동연,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,1.000,,,1.13,0.18,0.006
74,안우진,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.14,0.40,0.006
75,백승건,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,0.69,0.04,0.005
76,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
77,김현수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.11,0.40,0.004
78,이상화,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0.20,0.44,0.002
79,전유수,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000,0.500,0.000,0.500,0.47,-0.01,0.002
80,권오준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,0.91,0.002
81,황영국,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.01,0.95,0.001
82,백정현,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,0.68,-0.10,0.001
83,오동욱,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.01,1.00,0.001
84,박승주,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.02,0.40,0.001
85,김윤수,3,2,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,0.58,0.59,0.001
86,이준영,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
87,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
88,신재영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.47,0.000
89,문대원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.23,0.000
90,강재민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.32,0.000
91,남호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.83,0.000
92,황인준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.00,-0.63,0.000
93,이상동,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.01,-0.25,0.000
94,최세창,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.13,-0.21,0.000
95,유원상,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
96,김기훈,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.000,0.333,0.000,0.333,0.01,0.01,0.000
97,가뇽,11,9,1,3,2,0,0,5,4,0,0,1,0,0,0,2,0,1,0.333,0.364,0.556,0.919,1.26,-0.76,-0.001
98,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
99,김성민,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,0.25,0.64,-0.001
100,박진태,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.63,-0.001
101,송은범,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.05,-0.18,-0.001
102,노성호,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.25,-0.001
103,김택형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.26,-0.001
104,이원준,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.02,-0.25,-0.001
105,정인욱,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.34,-0.001
106,박정수,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.03,-0.52,-0.002
107,조성운,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.05,-0.25,-0.002
108,이상규,3,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.500,0.333,0.500,0.833,0.05,-0.28,-0.002
109,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
110,김대현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.32,-0.002
111,손정욱,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.60,-0.002
112,전상현,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,1.38,-0.44,-0.002
113,문동욱,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.04,-0.60,-0.002
114,박희수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.06,-0.82,-0.002
115,김민규,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.10,-0.47,-0.003
116,양기현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.16,-0.12,-0.004
117,고영창,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.11,1.03,-0.004
118,이영하,13,11,1,2,1,0,0,3,3,0,0,1,0,0,1,0,0,1,0.182,0.231,0.273,0.504,1.21,-0.52,-0.006
