,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,전유수,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0.000,,,5.23,0.01,0.176
1,이민우,5,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0.500,0.750,0.500,1.250,1.18,1.29,0.125
2,김이환,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.93,0.88,0.086
3,주권,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1.51,0.40,0.056
4,박희수,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.60,0.63,0.043
5,김윤수,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,0.91,0.28,0.040
6,윤명준,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.31,0.66,0.017
7,문경찬,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.38,0.28,0.013
8,서폴드,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.20,0.35,0.009
9,남재현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.30,0.25,0.004
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,한승지,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.10,0.90,0.002
12,김성민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.00,0.000
