,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,김민수,8,8,2,3,1,1,1,9,4,0,0,0,0,0,0,0,0,0,0.375,0.375,1.125,1.500,1.54,2.97,0.703
1,최지광,3,2,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,2.00,1.85,0.398
2,채지선,3,3,2,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,1.09,2.25,0.335
3,양현,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2.48,1.00,0.303
4,서진용,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,1.74,1.59,0.290
5,이영준,3,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,0.76,0.56,0.257
6,김태훈,3,3,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,1.58,1.38,0.246
7,알칸타라,12,11,1,5,2,1,1,12,3,0,0,1,0,0,4,0,0,0,0.455,0.500,1.091,1.591,0.72,2.54,0.235
8,박종훈,8,8,3,4,0,0,1,7,1,0,0,0,0,0,1,0,0,0,0.500,0.500,0.875,1.375,1.23,1.47,0.220
9,이민우,10,8,4,4,0,0,1,7,2,0,0,2,0,0,3,0,0,0,0.500,0.600,0.875,1.475,0.81,2.75,0.181
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,브룩스,11,10,2,2,0,0,1,5,2,0,0,1,0,0,6,0,0,0,0.200,0.273,0.500,0.773,0.82,0.74,0.180
12,킹엄,3,2,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,1.37,1.29,0.176
13,박종기,5,4,2,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.74,1.88,0.165
14,이재학,5,5,0,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.600,0.600,0.600,1.200,0.63,1.91,0.146
15,김진욱,5,4,3,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.250,0.400,0.500,0.900,0.72,1.52,0.136
16,뷰캐넌,3,2,1,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,0.51,1.88,0.123
17,김민우,5,5,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.200,0.200,0.800,1.000,1.21,0.83,0.118
18,김세현,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1.34,1.50,0.117
19,양승철,3,2,0,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0.91,1.52,0.116
20,김이환,3,3,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,1.23,0.44,0.113
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
