,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
0,임기영,7,7,0,6,3,0,0,9,3,0,0,0,0,0,0,0,0,0,0.857,0.857,1.286,2.143,1.11,4.25,0.402
1,김진영,4,3,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,1,0.667,0.500,1.667,2.167,1.81,0.91,0.348
2,고우석,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3.33,0.65,0.333
3,강윤구,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2.57,1.29,0.324
4,조상우,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4.67,1.13,0.311
5,김원중,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.54,0.43,0.290
6,채드벨,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,2.14,1.56,0.245
7,서폴드,6,4,1,1,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0.250,0.500,0.500,1.000,0.94,1.38,0.193
8,김영규,3,3,2,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,0.81,2.15,0.181
9,박준표,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.59,0.74,0.173
10,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
11,가뇽,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,1.48,0.72,0.147
12,양현종,6,4,1,2,0,0,0,2,1,0,0,1,0,0,2,0,1,0,0.500,0.600,0.500,1.100,1.21,1.14,0.143
13,유원상,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,0.96,-0.07,0.131
14,이민우,6,5,1,2,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0.400,0.500,0.600,1.100,1.09,1.41,0.130
15,임현준,1,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,0.62,1.00,0.126
16,박세웅,8,6,0,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0.667,0.750,0.667,1.417,0.75,1.76,0.121
17,차우찬,5,3,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0.333,0.400,0.333,0.733,1.03,1.44,0.095
18,요키시,8,7,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0.429,0.429,0.429,0.857,0.66,0.82,0.093
19,박민호,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,0.61,0.20,0.089
20,허윤동,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,1.43,0.82,0.087
21,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
22,조성운,5,4,0,2,1,1,0,5,2,0,0,1,0,0,0,0,0,0,0.500,0.600,1.250,1.850,0.25,2.25,0.086
23,문성현,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1.000,,,2.15,1.00,0.075
24,장지훈,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,1.01,1.46,0.075
25,켈리,7,7,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.714,0.85,-0.07,0.073
26,김윤수,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.400,0.000,0.400,0.62,-0.09,0.068
27,이우찬,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,1.000,,,1.18,0.55,0.063
28,이승호,6,6,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.667,1.167,0.81,0.49,0.059
29,노경은,4,4,2,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.250,0.250,1.000,1.250,0.84,0.26,0.058
30,김기훈,4,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333,0.500,0.333,0.833,0.51,0.42,0.058
31,박상원,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.500,0.000,0.500,1.11,-0.34,0.057
32,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
33,김대현,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.65,0.38,0.057
34,진해수,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.333,0.600,0.333,0.933,1.85,0.01,0.041
35,브룩스,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.97,0.79,0.039
36,강지광,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,0.56,0.08,0.034
37,김범수,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,1.20,0.21,0.028
38,윌슨,3,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,0.70,0.32,0.028
39,서진용,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,3.50,0.37,0.027
40,장원삼,2,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.50,0.14,0.026
41,이민호,5,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.400,0.600,0.54,-0.45,0.021
42,백정현,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.77,0.28,0.021
43,상대,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,avLI,RE24,WPA
44,김민,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333,0.50,0.23,0.020
45,조현우,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,1.25,0.35,0.020
